D,h,Cl_cyc,rk_2,rats_predicted
-17528,64,"[32, 2]",2,4
-17524,32,"[16, 2]",2,4
-17515,16,"[8, 2]",2,4
-17495,128,"[128]",1,2
-17427,16,"[4, 4]",2,4
-17391,128,"[32, 2, 2]",3,8
-17355,32,"[8, 2, 2]",3,8
-17347,16,"[8, 2]",2,4
-17323,16,"[16]",1,2
-17304,64,"[16, 2, 2]",3,8
-17284,32,"[16, 2]",2,4
-17272,32,"[8, 4]",2,4
-17227,16,"[8, 2]",2,4
-17220,32,"[4, 2, 2, 2]",4,16
-17195,64,"[32, 2]",2,4
-17119,64,"[32, 2]",2,4
-17115,32,"[8, 2, 2]",3,8
-17112,32,"[8, 2, 2]",3,8
-17080,32,"[8, 2, 2]",3,8
-16996,32,"[16, 2]",2,4
-16995,32,"[8, 2, 2]",3,8
-16899,32,"[16, 2]",2,4
-16835,32,"[8, 2, 2]",3,8
-16779,32,"[8, 2, 2]",3,8
-16723,16,"[16]",1,2
-16692,32,"[8, 2, 2]",3,8
-16644,64,"[16, 2, 2]",3,8
-16583,128,"[64, 2]",2,4
-16555,16,"[4, 2, 2]",3,8
-16548,32,"[8, 2, 2]",3,8
-16531,16,"[16]",1,2
-16504,32,"[32]",1,2
-16467,32,"[16, 2]",2,4
-16440,32,"[8, 2, 2]",3,8
-16419,32,"[16, 2]",2,4
-16391,128,"[128]",1,2
-16388,32,"[16, 2]",2,4
-16347,16,"[16]",1,2
-16343,128,"[128]",1,2
-16260,64,"[16, 2, 2]",3,8
-16259,64,"[64]",1,2
-16212,32,"[8, 2, 2]",3,8
-16211,64,"[32, 2]",2,4
-16203,32,"[16, 2]",2,4
-16195,16,"[8, 2]",2,4
-16071,128,"[64, 2]",2,4
-16051,32,"[32]",1,2
-16043,32,"[32]",1,2
-16035,32,"[16, 2]",2,4
-16027,16,"[8, 2]",2,4
-16008,32,"[8, 2, 2]",3,8
